"denpyou_kbn","setting_kbn","setting_item","default_value","hyouji_flg","shiwake_pattern_var1","shiwake_pattern_var2","shiwake_pattern_var3","shiwake_pattern_var4","shiwake_pattern_var5"
"A002","5","TORIHIKI","","0","","","","",""
"A002","5","PROJECT","","0","","","","",""
"A002","6","BUMON","","0","","","","",""
"A002","6","KAMOKU","","0","","","","",""
"A002","6","KAMOKUEDABAN","","0","","","","",""
"A002","6","KAZEIKBN","","0","","","","",""
"A002","6","SETSUMEI","","0","","","","",""
"A002","6","TORIHIKI","","0","","","","",""
"A002","6","PROJECT","","0","","","","",""
"A003","1","DEFAULT_HYOUJI","1","1","","","","",""
"A003","1","KAKE","","1","","","","",""
"A003","1","KOUSAIHI","","1","","","","",""
"A003","1","SHAIN","","1","","","","",""
"A003","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A003","2","KAMOKU","","1","","","","",""
"A003","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A003","2","KAZEIKBN","001","1","","","","",""
"A003","2","SETSUMEI","-","1","","","","",""
"A003","2","TORIHIKI","","1","<TORIHIKI>","","","",""
"A003","2","PROJECT","","1","<PROJECT>","","","",""
"A003","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A003","3","KAMOKU","","1","","","","",""
"A003","3","KAMOKUEDABAN","","1","","","","",""
"A003","3","KAZEIKBN","","1","","","","",""
"A003","3","SETSUMEI","ä|ÇØÇ»Çµ","1","","","","",""
"A003","3","TORIHIKI","","1","<TORIHIKI>","","","",""
"A003","3","PROJECT","","0","","","","",""
"A003","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A003","4","KAMOKU","","1","","","","",""
"A003","4","KAMOKUEDABAN","","1","","","","",""
"A003","4","KAZEIKBN","","1","","","","",""
"A003","4","SETSUMEI","ä|ÇØÇ†ÇË","1","","","","",""
"A003","4","TORIHIKI","<TORIHIKI>","1","<TORIHIKI>","","","",""
"A003","4","PROJECT","","0","","","","",""
"A003","5","BUMON","","0","","","","",""
"A003","5","KAMOKU","","0","","","","",""
"A003","5","KAMOKUEDABAN","","0","","","","",""
"A003","5","KAZEIKBN","","0","","","","",""
"A003","5","SETSUMEI","","0","","","","",""
"A003","5","TORIHIKI","","0","","","","",""
"A003","5","PROJECT","","0","","","","",""
"A003","6","BUMON","","0","","","","",""
"A003","6","KAMOKU","","0","","","","",""
"A003","6","KAMOKUEDABAN","","0","","","","",""
"A003","6","KAZEIKBN","","0","","","","",""
"A003","6","SETSUMEI","","0","","","","",""
"A003","6","TORIHIKI","","0","","","","",""
"A003","6","PROJECT","","0","","","","",""
"A004","1","DEFAULT_HYOUJI","1","1","","","","",""
"A004","1","KAKE","","0","","","","",""
"A004","1","KOUSAIHI","","0","","","","",""
"A004","1","SHAIN","","1","","","","",""
"A004","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A004","2","KAMOKU","","1","","","","",""
"A004","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A004","2","KAZEIKBN","001","1","","","","",""
"A004","2","SETSUMEI","-","1","","","","",""
"A004","2","TORIHIKI","","0","","","","",""
"A004","2","PROJECT","","1","<PROJECT>","","","",""
"A004","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A004","3","KAMOKU","","1","","","","",""
"A004","3","KAMOKUEDABAN","","1","","","","",""
"A004","3","KAZEIKBN","","1","","","","",""
"A004","3","SETSUMEI","êUçû","1","","","","",""
"A004","3","TORIHIKI","","0","","","","",""
"A004","3","PROJECT","","0","","","","",""
"A004","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A004","4","KAMOKU","","1","","","","",""
"A004","4","KAMOKUEDABAN","","1","","","","",""
"A004","4","KAZEIKBN","","1","","","","",""
"A004","4","SETSUMEI","åªã‡","1","","","","",""
"A004","4","TORIHIKI","","0","","","","",""
"A004","4","PROJECT","","0","","","","",""
"A004","5","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A004","5","KAMOKU","","1","","","","",""
"A004","5","KAMOKUEDABAN","","1","","","","",""
"A004","5","KAZEIKBN","","1","","","","",""
"A004","5","SETSUMEI","ñ¢ï•","1","","","","",""
"A004","5","TORIHIKI","","0","","","","",""
"A004","5","PROJECT","","0","","","","",""
"A004","6","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A004","6","KAMOKU","","1","","","","",""
"A004","6","KAMOKUEDABAN","","1","","","","",""
"A004","6","KAZEIKBN","","1","","","","",""
"A004","6","SETSUMEI","ñ@êlÉJÅ[Éhï•","1","","","","",""
"A004","6","TORIHIKI","","0","","","","",""
"A004","6","PROJECT","","0","","","","",""
"A005","1","DEFAULT_HYOUJI","1","1","","","","",""
"A005","1","KAKE","","0","","","","",""
"A005","1","KOUSAIHI","","0","","","","",""
"A005","1","SHAIN","","1","","","","",""
"A005","2","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A005","2","KAMOKU","","1","","","","",""
"A005","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A005","2","KAZEIKBN","","1","","","","",""
"A005","2","SETSUMEI","-","1","","","","",""
"A005","2","TORIHIKI","","0","","","","",""
"A005","2","PROJECT","","0","","","","",""
"A005","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A005","3","KAMOKU","","1","","","","",""
"A005","3","KAMOKUEDABAN","","1","","","","",""
"A005","3","KAZEIKBN","","1","","","","",""
"A005","3","SETSUMEI","êUçû","1","","","","",""
"A005","3","TORIHIKI","","0","","","","",""
"A005","3","PROJECT","","0","","","","",""
"A005","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A005","4","KAMOKU","","1","","","","",""
"A005","4","KAMOKUEDABAN","","1","","","","",""
"A005","4","KAZEIKBN","","1","","","","",""
"A005","4","SETSUMEI","åªã‡","1","","","","",""
"A005","4","TORIHIKI","","0","","","","",""
"A005","4","PROJECT","","0","","","","",""
"A005","5","BUMON","","0","","","","",""
"A005","5","KAMOKU","","0","","","","",""
"A005","5","KAMOKUEDABAN","","0","","","","",""
"A005","5","KAZEIKBN","","0","","","","",""
"A005","5","SETSUMEI","","0","","","","",""
"A005","5","TORIHIKI","","0","","","","",""
"A005","5","PROJECT","","0","","","","",""
"A005","6","BUMON","","0","","","","",""
"A005","6","KAMOKU","","0","","","","",""
"A005","6","KAMOKUEDABAN","","0","","","","",""
"A005","6","KAZEIKBN","","0","","","","",""
"A005","6","SETSUMEI","","0","","","","",""
"A005","6","TORIHIKI","","0","","","","",""
"A005","6","PROJECT","","0","","","","",""
"A006","1","DEFAULT_HYOUJI","1","1","","","","",""
"A006","1","KAKE","","0","","","","",""
"A006","1","KOUSAIHI","","0","","","","",""
"A006","1","SHAIN","","1","","","","",""
"A006","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A006","2","KAMOKU","","1","","","","",""
"A006","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A006","2","KAZEIKBN","001","1","","","","",""
"A006","2","SETSUMEI","-","1","","","","",""
"A006","2","TORIHIKI","","0","","","","",""
"A006","2","PROJECT","","0","","","","",""
"A006","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A006","3","KAMOKU","","1","","","","",""
"A006","3","KAMOKUEDABAN","","1","","","","",""
"A006","3","KAZEIKBN","","1","","","","",""
"A006","3","SETSUMEI","-","1","","","","",""
"A006","3","TORIHIKI","","0","","","","",""
"A006","3","PROJECT","","0","","","","",""
"A006","4","BUMON","","0","","","","",""
"A006","4","KAMOKU","","0","","","","",""
"A006","4","KAMOKUEDABAN","","0","","","","",""
"A006","4","KAZEIKBN","","0","","","","",""
"A006","4","SETSUMEI","","0","","","","",""
"A006","4","TORIHIKI","","0","","","","",""
"A006","4","PROJECT","","0","","","","",""
"A006","5","BUMON","","0","","","","",""
"A006","5","KAMOKU","","0","","","","",""
"A006","5","KAMOKUEDABAN","","0","","","","",""
"A006","5","KAZEIKBN","","0","","","","",""
"A006","5","SETSUMEI","","0","","","","",""
"A006","5","TORIHIKI","","0","","","","",""
"A006","5","PROJECT","","0","","","","",""
"A006","6","BUMON","","0","","","","",""
"A006","6","KAMOKU","","0","","","","",""
"A006","6","KAMOKUEDABAN","","0","","","","",""
"A006","6","KAZEIKBN","","0","","","","",""
"A006","6","SETSUMEI","","0","","","","",""
"A006","6","TORIHIKI","","0","","","","",""
"A006","6","PROJECT","","0","","","","",""
"A009","1","DEFAULT_HYOUJI","1","1","","","","",""
"A009","1","KAKE","","0","","","","",""
"A009","1","KOUSAIHI","","0","","","","",""
"A009","1","SHAIN","","1","","","","",""
"A009","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A009","2","KAMOKU","","1","","","","",""
"A009","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A009","2","KAZEIKBN","001","1","","","","",""
"A009","2","SETSUMEI","-","1","","","","",""
"A009","2","TORIHIKI","","1","<TORIHIKI>","","","",""
"A009","2","PROJECT","","1","<PROJECT>","","","",""
"A009","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A009","3","KAMOKU","","1","","","","",""
"A009","3","KAMOKUEDABAN","","1","","","","",""
"A009","3","KAZEIKBN","","1","","","","",""
"A009","3","SETSUMEI","óaã‡","1","","","","",""
"A009","3","TORIHIKI","","1","<TORIHIKI>","","","",""
"A009","3","PROJECT","","0","","","","",""
"A009","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A009","4","KAMOKU","","1","","","","",""
"A009","4","KAMOKUEDABAN","","1","","","","",""
"A009","4","KAZEIKBN","","1","","","","",""
"A009","4","SETSUMEI","ñ¢ï•","1","","","","",""
"A009","4","TORIHIKI","","1","<TORIHIKI>","","","",""
"A009","4","PROJECT","","0","","","","",""
"A009","5","BUMON","","0","","","","",""
"A009","5","KAMOKU","","0","","","","",""
"A009","5","KAMOKUEDABAN","","0","","","","",""
"A009","5","KAZEIKBN","","0","","","","",""
"A009","5","SETSUMEI","","0","","","","",""
"A009","5","TORIHIKI","","0","","","","",""
"A009","5","PROJECT","","0","","","","",""
"A009","6","BUMON","","0","","","","",""
"A009","6","KAMOKU","","0","","","","",""
"A009","6","KAMOKUEDABAN","","0","","","","",""
"A009","6","KAZEIKBN","","0","","","","",""
"A009","6","SETSUMEI","","0","","","","",""
"A009","6","TORIHIKI","","0","","","","",""
"A009","6","PROJECT","","0","","","","",""
"A010","1","DEFAULT_HYOUJI","1","1","","","","",""
"A010","1","KAKE","","0","","","","",""
"A010","1","KOUSAIHI","","0","","","","",""
"A010","1","SHAIN","","1","","","","",""
"A010","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A010","2","KAMOKU","","1","","","","",""
"A010","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A010","2","KAZEIKBN","001","1","","","","",""
"A010","2","SETSUMEI","-","1","","","","",""
"A010","2","TORIHIKI","","0","","","","",""
"A010","2","PROJECT","","1","<PROJECT>","","","",""
"A010","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A010","3","KAMOKU","","1","","","","",""
"A010","3","KAMOKUEDABAN","","1","","","","",""
"A010","3","KAZEIKBN","","1","","","","",""
"A010","3","SETSUMEI","êUçû","1","","","","",""
"A010","3","TORIHIKI","","0","","","","",""
"A010","3","PROJECT","","0","","","","",""
"A010","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A010","4","KAMOKU","","1","","","","",""
"A010","4","KAMOKUEDABAN","","1","","","","",""
"A010","4","KAZEIKBN","","1","","","","",""
"A010","4","SETSUMEI","åªã‡","1","","","","",""
"A010","4","TORIHIKI","","0","","","","",""
"A010","4","PROJECT","","0","","","","",""
"A010","5","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A010","5","KAMOKU","","1","","","","",""
"A010","5","KAMOKUEDABAN","","1","","","","",""
"A010","5","KAZEIKBN","","1","","","","",""
"A010","5","SETSUMEI","ñ¢ï•","1","","","","",""
"A010","5","TORIHIKI","","0","","","","",""
"A010","5","PROJECT","","0","","","","",""
"A010","6","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A010","6","KAMOKU","","1","","","","",""
"A010","6","KAMOKUEDABAN","","1","","","","",""
"A010","6","KAZEIKBN","","1","","","","",""
"A010","6","SETSUMEI","ñ@êlÉJÅ[Éhï•","1","","","","",""
"A010","6","TORIHIKI","","0","","","","",""
"A010","6","PROJECT","","0","","","","",""
